"No","OldName","NewName","Status"
"82","82_DeepSeek_V4_Towards_Highly_Efficient_Million_Token_Context_Intelligence_2606.19348.pdf","82 - DeepSeek-V4 - Towards Highly Efficient Million-Token Context Intelligence.pdf","Renamed"
"83","83_DeepSeek_V3_2_Pushing_the_Frontier_of_Open_Large_Language_Models_2512.02556.pdf","83 - DeepSeek-V3.2 - Pushing the Frontier of Open Large Language Models.pdf","Renamed"
"84","84_DeepSeek_R1_Incentivizing_Reasoning_Capability_2501.12948.pdf","84 - DeepSeek-R1 - Incentivizing Reasoning Capability in LLMs via Reinforcement Learning.pdf","Renamed"
"85","85_DeepSeek_V3_Technical_Report_2412.19437.pdf","85 - DeepSeek-V3 Technical Report.pdf","Renamed"
"86","86_DeepSeek_Coder_V2_2406.11931.pdf","86 - DeepSeek-Coder-V2 - Breaking the Barrier of Closed-Source Models in Code Intelligence.pdf","Renamed"
"87","87_GLM_5V_Turbo_Native_Foundation_Model_for_Multimodal_Agents_2604.26752.pdf","87 - GLM-5V-Turbo - Toward a Native Foundation Model for Multimodal Agents.pdf","Renamed"
"88","88_GLM_OCR_Technical_Report_2603.10910.pdf","88 - GLM-OCR Technical Report.pdf","Renamed"
"89","89_GLM_5_From_Vibe_Coding_to_Agentic_Engineering_2602.15763.pdf","89 - GLM-5 - from Vibe Coding to Agentic Engineering.pdf","Renamed"
"90","90_GLM_TTS_Technical_Report_2512.14291.pdf","90 - GLM-TTS Technical Report.pdf","Renamed"
"91","91_ChatGLM_Family_from_GLM_130B_to_GLM_4_All_Tools_2406.12793.pdf","91 - ChatGLM - A Family of Large Language Models from GLM-130B to GLM-4 All Tools.pdf","Renamed"
"92","92_ByteDance_Seed_Neural_Basis_Time_Dependent_Variational_Monte_Carlo_2606.05850.pdf","92 - Towards stable and accurate electron dynamics via neural network based time-dependent variational Monte Carlo.pdf","Renamed"
"93","93_ByteDance_Seed_MetaPoint_Spatial_Control_in_Agentic_Visual_Generation_2606.05031.pdf","93 - MetaPoint - Unlocking Precise Spatial Control in Agentic Visual Generation.pdf","Renamed"
"94","94_ByteDance_Seed_Task_Focused_Memorization_for_Multimodal_Agents_2605.31075.pdf","94 - Task-Focused Memorization for Multimodal Agents.pdf","Renamed"
"95","95_ByteDance_Seed_More_Expressive_Feedforward_Layers_MoA_2605.26647.pdf","95 - More Expressive Feedforward Layers - Part I. Token-Adaptive Mixing of Activations.pdf","Renamed"
"96","96_ByteDance_Seed_On_Scale_Vectors_in_Large_Language_Models_2605.26895.pdf","96 - Negligible in Size, Significant in Effect - On Scale Vectors in Large Language Models.pdf","Renamed"
"97","97_LongCat_Video_Avatar_1_5_Technical_Report_2605.26486.pdf","97 - LongCat-Video-Avatar 1.5 Technical Report.pdf","Renamed"
"98","98_LongCat_AudioDiT_High_Fidelity_Diffusion_Text_to_Speech_2603.29339.pdf","98 - LongCat-AudioDiT - High-Fidelity Diffusion Text-to-Speech in the Waveform Latent Space.pdf","Renamed"
"99","99_LongCat_Next_Lexicalizing_Modalities_as_Discrete_Tokens_2603.27538.pdf","99 - LongCat-Next - Lexicalizing Modalities as Discrete Tokens.pdf","Renamed"
"100","100_LongCat_Flash_Prover_Agentic_Tool_Integrated_RL_2603.21065.pdf","100 - LongCat-Flash-Prover - Advancing Native Formal Reasoning via Agentic Tool-Integrated Reinforcement Learning.pdf","Renamed"
"101","101_LongCat_Flash_Thinking_2601_Technical_Report_2601.16725.pdf","101 - LongCat-Flash-Thinking-2601 Technical Report.pdf","Renamed"
"102","102_Hunyuan_GameCraft_2_Instruction_Following_Interactive_Game_World_Model_2511.23429.pdf","102 - Hunyuan-GameCraft-2 - Instruction-following Interactive Game World Model.pdf","Renamed"
"103","103_Hunyuan_MT_Technical_Report_2509.05209.pdf","103 - Hunyuan-MT Technical Report.pdf","Renamed"
"104","104_Hunyuan_GameCraft_High_Dynamic_Interactive_Game_Video_Generation_2506.17201.pdf","104 - Hunyuan-GameCraft - High-dynamic Interactive Game Video Generation with Hybrid History Condition.pdf","Renamed"
"105","105_Hunyuan_TurboS_Mamba_Transformer_and_Adaptive_CoT_2505.15431.pdf","105 - Hunyuan-TurboS - Advancing Large Language Models through Mamba-Transformer Synergy and Adaptive Chain-of-Thought.pdf","Renamed"
"106","106_Hunyuan_Game_Industrial_Grade_Intelligent_Game_Creation_Model_2505.14135.pdf","106 - Hunyuan-Game - Industrial-grade Intelligent Game Creation Model.pdf","Renamed"
"107","107_OpenAI_GeneBench_Pro_2026.pdf","107 - GeneBench-Pro - Evaluating Multistage Statistical Reasoning in Genomics, Quantitative Biology, and Translational Biomedicine.pdf","Renamed"
"108","108_OpenAI_GPT_5_6_Preview_System_Card_2026.pdf","108 - GPT-5.6 Preview System Card.pdf","Renamed"
"109","109_OpenAI_The_Shift_to_Agentic_AI_Evidence_from_Codex_2026.pdf","109 - The Shift to Agentic AI - Evidence from Codex.pdf","Renamed"
"110","110_OpenAI_LifeSciBench_Preprint_2026.pdf","110 - LifeSciBench - Evaluating Language Models on Realistic, Expert-Level Tasks in the Life Sciences.pdf","Renamed"
"111","111_OpenAI_TEMPO_Chan_Lam_Couplings_AI_Chemist_2026.pdf","111 - TEMPO Improves Generality and Decreases Oxidative Deboronation in Chan-Lam Couplings of Primary Sulfonamides.pdf","Renamed"
"112","112_Anthropic_Economic_Index_Cadences_2026.pdf","112 - Anthropic Economic Index report - Cadences.pdf","Renamed"
"113","113_Anthropic_Agentic_Coding_and_Persistent_Returns_to_Expertise_2026.pdf","113 - Agentic coding and persistent returns to expertise.pdf","Renamed"
"114","114_Anthropic_Labor_Market_Impacts_of_AI_2026.pdf","114 - Labor market impacts of AI - A new measure and early evidence.pdf","Renamed"
"115","115_Anthropic_Economic_Index_Learning_Curves_2026.pdf","115 - Anthropic Economic Index report - Learning curves.pdf","Renamed"
"116","116_Anthropic_Economic_Index_Economic_Primitives_2026.pdf","116 - Anthropic Economic Index report - Economic primitives.pdf","Renamed"
"117","117_Google_Gemini_Embedding_2_Native_Multimodal_Embedding_Model_2605.27295.pdf","117 - Gemini Embedding 2 - A Native Multimodal Embedding Model from Gemini.pdf","Renamed"
"118","118_Google_MedGemma_1_5_Technical_Report_2604.05081.pdf","118 - MedGemma 1.5 Technical Report.pdf","Renamed"
"119","119_Google_T5Gemma_TTS_Technical_Report_2604.01760.pdf","119 - T5Gemma-TTS Technical Report.pdf","Renamed"
"120","120_Google_T5Gemma_2_2512.14856.pdf","120 - T5Gemma 2 - Seeing, Reading, and Understanding Longer.pdf","Renamed"
"121","121_Google_VaultGemma_Differentially_Private_Gemma_Model_2510.15001.pdf","121 - VaultGemma - A Differentially Private Gemma Model.pdf","Renamed"
